id,nombre,apellido,curso,email
25d21758-4fe8-4bd1-895d-11afb06b2271,Miguel,Lopez,"{1,2,3}",migue@email.com
1de9136b-7557-4e54-a775-5cdd7836e466,Ana,Garcia,"{1,2,4}",ana@email.com
6770831c-dd3e-4812-93ec-73c90bc927de,Pablo,Rodriguez,"{2,3}",pablo@email.com
8db43857-a9ea-4601-b1c3-b4a89da9b575,Eduardo,Fernandez,"{4}",eduardo@email.com
5a2ab17e-1408-4297-a833-be8a3b439042,Maria,Alvarez,"{1,4}",maria@email.com
1135e139-e962-4197-9336-d7105a872b7e,Luis,Martinez,"{2,3,4}",luis@email.com
e7cfa6db-25cf-41cf-9c46-a2f1987cc6e8,Andrea,Ruiz,"{1,2,4}",andrea@email.com
3a0de5eb-e24c-4925-b490-0f467a348759,Sofia,Gomez,"{1,3}",sofia@email.com
2bb044b4-bc0d-4969-9b60-6e97eef26aac,Javier,Ramirez,"{2,3}",javier@email.com
026d63ac-0795-479a-a98e-3682fe049a52,Carolina,Perez,"{1}",carolina@email.com
